ccn,ceo,company_name,description,founded_in,headquarters,nob,ownership,ratings,toc
,,World Network Services,,,,,,3.5,
,,Reliance Life Sciences,"Reliance Life Sciences is a research-driven organization developing business opportunities in bio-therapeutics (plasma proteins, biosimilars and novel proteins), pharmaceuticals (later-generation, oncology generics), clinical research services, regenerative medicine (stem cells therapies) and molecular medicine. Reliance Life Sciences is part of the Promoter Group of Reliance Industries Limited.Reliance Life Sciences has launched three of the world’s first biosimilars, has the largest number of biosimilars in the market in India, and the highest number of biosimilars under development globally. It has the distinction of being the first integrated manufacturer of plasma proteins in South Asia. Reliance Life Sciences has catalyzed the emergence of regenerative medicine in the country, and has the highest experience with cord blood stem cell transplants in India. RLS is one of the few centres in the world offering a specialized range of tests in molecular medicine and molecular genetics.",2001,"Mumbai, Maharashtra, India",B2B,Private,3.6,Corporate
,,Sterling,"STERLING GROUP OF COMPANIES an ISO-9001:2015 certified 100% EXPORT ORIENTED UNITS are entrepreneurship of highly qualified management & staff backing by 51 years of experience to meet the world’s requirement of Ferrous and Non-ferrous precision parts and Components (mainly Brass Based), to suit the specifications of different international standards.

Our commitment to quality, consistency, and reliability made us one of the top Exporters from India. Our Brand Name “STERLING” itself is considered as a mark of quality by all our National & International customers. We have satisfied our customer’s requirements not only by providing them quality material but also by timely deliveries & services. Our commitment to quality and timely deliveries made us leaders in National as well as in the international market, for more than 3 decades.

We strongly believe in maintaining perfection in quality and standards, which leads to achieving excellence in our profession. We at Sterling, achieved several milestones, with this attitude and belief to achieve furthermore, for which we prepared ourselves as an ISO-9001:2015 and 100% Export Oriented Unit.",1967,"Mumbai, India",,Private,3.9,
,,Swastika Investmart,"Swastika Investmart Ltd. (Formerly known as Swastika Fin-Lease Ltd.), a public limited company, was incorporated in 1992 with its registered office in Mumbai and administrative office at Indore (M.P.). It is promoted by Mr. Sunil Nyati belonging to the Swastika group of Rajasthan, engaged in diversified business since 1959.",1992,"Indore, India",B2C,Public,4.4,Indian Mnc
,,Consero Global Solutions,"Consero Global provides a robust financial solution that gives CEOs, CFOs and investors a clear financial picture to make better decisions in growing their business. Consero was founded in early 2006 with the goal of providing small and mid-market companies with a superior alternative to building and maintaining an in-house finance function. Since then we have expanded our solution; offering strategy and funding services, operational financial services, financial controller services, bookkeeping, and administration services and our cloud software platform.",2006,,B2B,Private,3.4,Corporate
,,Black Knight,"Black Knight (NYSE:BKI) is a leading provider of integrated software, data and analytics solutions that facilitate and automate many of the business processes across the homeownership life cycle. Black Knight is committed to being a premier business partner that clients rely on to achieve their strategic goals, realize greater success and better serve their customers by delivering best-in-class software, services and insights with a relentless commitment to excellence, innovation, integrity and leadership.",2014,,Service,Private,3.6,Startup
,,Mahle Behr India,"Incorporated in 1997, MAHLE ANAND Thermal Systems came about as a result of ANAND’s joint venture with MAHLE Behr GmbH & Co.KG, Germany. A technology leader when it comes to the manufacture of comprehensive automotive thermal management components, they are ANAND’s systems partners for the automobile industry. MAHLE ANAND Thermal Systems’s agility in responding to the rapidly- changing sectoral environment has defined its progression over the last two decades.",1997,"Pune, India",,,4.0,
,Mitchell R Butier,Avery Dennison,"Avery Dennison (NYSE: AVY) is a global materials science company specializing in the design and manufacture of a wide variety of labeling and functional materials.

The company’s products, which are used in nearly every major industry, include pressure-sensitive materials for labels and graphic applications; tapes and other bonding solutions for industrial, medical, and retail applications; tags, labels and embellishments for apparel; and radio frequency identification (RFID) solutions serving retail apparel and other markets. Headquartered in Glendale, California, the company employs more than 30,000 employees in over 50 countries. Reported sales in 2019 were $7.1 billion.",1995,,B2B,Private,4.0,Foreign Mnc
,,Utl Solar,"Since our inception in 1996, we “UTL” have evolved ourselves as a renowned name in the field of power electronics. Today, we stand as a recognized name offering outstanding R & D and high quality products. 

We offer an extensive range of products including Online UPS, Offline UPS, Inverters, Battery Chargers, SMU(Solar Management Unit), Solar Charge Controllers, Batteries; enabling us to accommodate all the needs of our customers up to their full satisfaction.

While functioning remarkably in the past years, UTL has had the opportunity to serve a number of India’s prominent companies and agencies. To name a few, Air India, Indian Army, Indian Railways, State Bank of Saurashtra, Delhi University, AIIMS and others.

Our advanced products along with a huge production capacity supported by an expanding dealer network have made it possible for us to scale up our customer support significantly. It is worthwhile to mention that the manufacturing unit of the company at Parwanoo in Himachal Pradesh has the capacity to produce up to 1000 high quality Power Conditioning Units per day.

After deepening its roots in the Indian market with our expert range of products and exemplary service, we UTL are further in the progression of marking our presence global. Already operating successfully in a number of Asian and African countries, UTL is ready to make a boom in other regions.

UTL has always been considered as a leader and modernizer in the market, when it comes to innovation. We made our first landmark a decade back by introducing SMT inverters in the country with SMD technology, a technology considered as a dream product at that time. With the introduction of SMD technology, UTL lead the promotion of single card reliability and small size inverters. Another milestone accomplished by the company was the introduction of 4 stage charging technology which later became a trend in the market.

With such innovations and state of the art technologies at UTL we have the distinction of developing advanced technologies suitable for special power conditioning projects for countries like U.S.A.

The major pillars of UTL, experienced personnel and latest techniques are the foundation for its high-quality products entailing minimal service requirements. 

In all, UTL follows the philosophy of leading through unparalleled technologies in dual aspects of business which are its products and services.",1996,,Product,Private,3.6,Corporate
,Subramanyam S.,Ascent Consulting Services,"A leading ‘Future of Work’ products and solutions provider, we deliver a range of innovative offerings to meet the diverse needs of our clients. With a global presence spanning 34 countries, our products redefine Payroll, HRMS, and Compliance functions, bringing unparalleled value through cutting-edge technology, industry-specific knowledge, and continuous innovation. Our product lineup includes advanced solutions in Business Support, Automation, Consulting, Temp-Staffing, and Compliance.",2002,"Bengaluru, India",B2B,Private,3.8,Corporate
,Vishal Sinha,Cwt,"CWT is a Business-to-Business-for-Employees (B2B4E) travel management platform. Companies and governments rely on us to keep their people connected – anywhere, anytime, anyhow – and across six continents, we provide their employees with innovative technology and an efficient, safe and secure travel experience. Every single day, we look after enough travelers to fill more than 100,000 hotel rooms, while our meetings and events division handles more than 100 events every 24 hours.",1994,,,Private,4.2,
,Jochen Thewes,Db Schenker,"DB Schenker is the world’s leading global logistics provider — we support industry and trade in the global exchange of goods through land transport, worldwide air and ocean freight, contract logistics and supply chain management. 
Integrated logistics resides at the world’s most important intersections, where the flow of goods creates an effective link between carriers. Our value-added services ensure the flow of goods continues seamlessly and supply chains stay lean and optimized for success. Our business holds top positions in automotive, technology, consumer goods, trade fair logistics, special transports, and special events logistics.",1990,,B2C,Private,4.2,Foreign Mnc
,,M Square Media,,,,,,4.5,
,Venku Murthi,Cox & Kings,"Cox & Kings is the longest established travel company in the world. Its distinguished history began in 1758 when it was appointed as general agents to the regiment of Foot Guards in India under the command of Lord Ligonier.

By 1878, C&K were agents for most British regiments posted overseas, including the Royal Cavalry, Artillery and Infantry, as well as the Royal Wagon Train and the Household Brigade. The Royal Navy was next and in 1912, The Royal Air Force came under its wings.

Between 1750's and 1950's, Cox & Kings was witness to an exciting era in Indian history, and, in its own way, helped to shape it. In 1947, the British administration departed, but bound by strong ties to India, Cox & Kings stayed on and flourished. Today, Cox & Kings is a premium brand in all travel related services in the Indian subcontinent, employing over 5000 trained professionals.

Its India operations are headquartered in Mumbai and has the status of a limited company. It has over 12 fully owned offices in India across key cities such as New Delhi, Chennai, Bangalore, Kolkata, Ahmedabad, Kochi, Hyderabad, Pune, Goa, Nagpur and Jaipur.

The worldwide offices are located in UK, USA, Japan, Russia, Singapore and Dubai. It has associate offices in Germany, Italy, Spain, South Africa, Sweden and Australia.",1758,"Mumbai, Maharashtra, India",Service,Private,3.8,Indian Mnc
,,Varuna Integrated Logistics,"Our story began in 1996, at the threshold of a new era in Indian logistics. Since then, Varuna Group has operated with the principles of customer centricity, operational excellence and transparency, partnering with supply chain leaders to manage their end-to-end logistics operations with the aim of reducing the effective landed cost of products. Every day, our 1500+ trained specialists in 60+ branches work with utmost dedication and an unparalleled zeal to deliver excellent service and exceptional savings, leading to true value creation for our clients.",1996,"Gurgaon/Gurugram, Haryana, India",B2B,Private,3.7,Corporate
,,Toyoda Gosei Minda,"Making its mark in the International Grid of Automobile Components Manufacturing, UNO MINDA Group steers ahead as a leading Tier 1 supplier of Proprietary Automotive Solutions to Original Equipment Manufacturers (OEMs). Incepted way back in 1958 with a meagre start-up capital and now notching up a group turnover beyond INR 80 Billion, speaks volumes of the conglomerate that it is today.",2008,,B2B,Private,4.1,Corporate
,,Federal Mogul Goetze,"Federal-Mogul Goetze (India) Limited was established in 1954 as a joint venture with Goetze-Werke of Germany. 
Goetze-Werke of Germany is now owned by Federal-Mogul Corporation, a $6.3 billion global company and one of the leading manufacturers of automotive components in the world.

Federal-Mogul Goetze (India) Limited is the largest manufacturer of pistons and piston rings in India.",1954,"Gurgaon/Gurugram, Haryana, India",B2C,Public,4.1,Corporate
,,Olx Autos,,,,,,3.9,
,,Icfai University,"The Institute of Chartered Financial Analysts of India (ICFAI) is a not-for-profit Society registered under the Andhra Pradesh (Telangana Area) Public Societies Registration Act, 1350 Fasli (Act I of 1350 F). Established in the year 1984 with an objective of imparting world-class high quality education. ICFAI has around three decades of exemplary track record in the field of higher education. It launched the certification program for Financial Analysts, the CFA Program in 1985 and has been instrumental in developing a new generation of professionals in India. In the year 1995 ICFAI set up the Icfai Business Schools (IBSs) all over India at eight locations to offer high quality employment oriented two years Post Graduate Programs in Management with various specializations. Over the years, IBS Hyderabad is ranked among the top ten B-Schools in India in the independent surveys conducted by various magazines.",2003,"Dehradun, Uttarakhand, India",B2C,Private,3.8,Corporate
7290935048,Lagan Shastri,Dfm Foods,"DFM Foods is a leading player in the business of manufacturing packaged snacks. Our flagship product, CRAX Corn Rings has been a household name since its launch in 1984.",1983,,B2C,Public,4.1,Corporate
9899108543,,Country Holidays Travel India,"Country Holidays Travel had started the journey with only 20 employees onboard, but with all our passion and diligence we have successfully surpassed our vision and we've grown up to be a happy family of over 500 employees. We consider CHTI as our own family because our employees who work here with their absolute dedication are all united with the same passion, same sincerity and same mission and we like to celebrate their spirit of togetherness year after year and cherish our bonds even more. We believe they are the backbone of our company and are a significant reason for our continuous growth. Country Holidays Travel India is a time saving option for our customers whose only passion is travel. CHTI provide them an opportunity to travel hassle-free.

The prime objective to start the company was to provide mesmerizing travel options with customized economical benefits to the travelers right under one roof. In short, CHTI has been established to make its mark in providing the choicest of hassle free luxury travel experiences, which everyone can afford with ease.

The vast empire of CHTI is currently spread across the globe with 250 travel associates and 3,500 ties up collaborative properties.",2022,"New Delhi, Delhi, India",Service,Private,4.4,Startup
,,Electrosteel Casting,"Growing from strength to strength over half a century, Electrosteel Castings Limited is inspired by a strong legacy and motivated by the vision to remain world-class through a focus on quality products and quality services. Today the Company is India's leading pipeline solution provider. It has a strong brand presence around the globe and has one prevailing aim - to remain the first choice in the market segment by becoming an international benchmark. An industry pioneer in India, Electrosteel has always remained the distinct choice for water engineers and domain experts in Ductile Iron Pipes and Fittings.
Apart from meeting the growing demand for DI Pipes in India successfully, Electrosteel has established a strong foothold in the international markets. It caters to a large customer base in 35 countries spread across the Indian subcontinent, South East Asia and the Middle East, Europe, USA, South America and Africa.",1955,"Kolkata, West Bengal, India",B2B,Public,3.9,Indian Mnc
,,Pc Jewellers,"PC Jeweller is India's leading fine jewellery discovery platform focusing on giving YOU an awesome jewellery buying experience. At PC Jeweller we strive to provide you the largest collection of curated designs for every occasion. We are not just selling jewellery, but an unparalleled jewellery buying experience at your fingertips! Shining bright with a young team focused on innovation, customer happiness and transparency, PC Jeweller addresses the growing demands of today's always on-the-go consumers to discover, explore, buy and know more about their jewellery. Our policies provide easy returns, free shipping, BIS Hallmark, 100% certified jewellery, life-time exchange, best and transparent prices and unique designs all under one roof",2005,,B2C,Public,4.0,Corporate
,,Amri Hospital,"AMRI Hospitals Ltd is the premier private healthcare provider of Eastern India, with three super specialty hospitals at Dhakuria, Mukundapur, and Salt Lake, in Kolkata, a state-of-the-art daycare centre on Southern Avenue in Kolkata, and another super specialty hospital at Bhubaneswar, Odisha. The Group takes care of around 3.5 lakh patients annually, conducting more than 15,000 successful surgeries, with a roster of more than 5,000 healthcare professionals. An impressive roster of more than 600 doctors and a well-trained force of nursing staff work tirelessly across more than 1,000 beds across its four hospitals, backed by advanced technologies and latest equipment to treat people and save lives. With major changes and developments on its plate, the AMRI Group is headed towards a path of steady growth. AMRI Hospitals is all set to add around 700 beds in the near future.",1996,"Kolkata, West Bengal, India",B2C,Private,4.0,Corporate
,,L&T Heavy Engineering,"Based in multi-locations - Hazira, Vadodara, Powai, manufacturing at Hazira and Vadodara.",1953,"Hazira, Gujarat, India",,,4.3,
2225930010,Rupesh Sanghavi,Ergode It Services,"Over the last 15+ years, the firm has enabled 2500+ brands to expand in e-commerce and helped brand owners make strategic decisions. Ergode is one of the fastest-growing brand aggregators in North America. Under the firm's management, brands gain an edge over premium household labels and become the preferred choice by consumers around the globe. For more information, visit www.ergode.com.",2006,,,Private,3.7,Corporate
,,Fino Paytech,"Fino Payments Bank comes to you from an institution that has served the country’s banking needs for over a decade. We truly value your hard work and understand how important it is to you and your family. It is therefore, our continuous endeavor to provide you with an unmatched banking experience, through our simple products & services that can easily be accessed anytime, anywhere, and in your neighbourhood too.",2006,,Service,,4.1,Corporate
,,Medica Superspecialty Hospital,"Medica Hospitals, one of the most reputed and leading healthcare chains in eastern India today, has built and managed a number of Multispecialty and Superspecialty healthcare facilities across the region over the past few years.Beginning its journey with Medica North Bengal Clinic (MNBC) in Siliguri in 2008, the Group launched its flagship Hospital – Medica Superspecialty Hospital (MSH) – in Kolkata in 2010. Soon after Medica Cancer Hospital in Rangapani, Siliguri, fulfilled the dire need of a comprehensive cancer facility in North Bengal, and the trust hospital R.C. Agarwal Memorial run by Medica in Tinsukia brought quality multispecialty healthcare to Assam.Medica tied-up with Tata Steel in 2014 to run the operations of Kantilal Gandhi Memorial Hospital (an existing unit in Jharkhand) and with the Jain Samaj for Bhagwan Mahavir Medica Superspecialty Hospital (a new venture in Ranchi). Tata Steel Medica Hospital in Kalinganagar, Odisha, began operations in 2015. In 2017 Medica stepped into Bihar with a specialized heart care unit, Medica Heart Institute, Patna, providing comprehensive heart care services in the region. The Group has recently stepped into Burdwan with Bengal Faith Medica Hospital and is set to launch its second unit in Odisha with a multispecialty hospital in the seaside town of Gopalpur.",2008,,B2C,Private,3.6,Corporate
,,Bhilosa Industries,"Being associated with the textile industry for almost 100 years, Bhilosa incepted and breathed its first air of passion in 1989. The idea was to effect an exponential change in the Indian Polyester Industry. With a will to accompany world class quality in products and structural transparency in operations, we set ourselves to put best foot forward, in this long and exciting journey.
Along the way, responsibility and honesty, were two key characteristics that accompanied us on this path — the path of putting the ‘Nation First’ above all. We carried this torch further and expanded our horizons, doubling our production capacity. Thanks to our Employees, Vendors, Customers, Bankers & Institutions and their unparalleled efforts, Bhilosa today is synonymous with leading companies for the best and quantitative Polyester Yarn manufacturing in India.
While efforts of our people have played a crucial role, our infrastructure too has played its part in our success. Factories at Rakholi and Naroli in Silvassa have been taking care of our production, making Bhilosa a name to reckon with. A conducive environment for growth, nurturing talent and great life is what we constantly think about our people. It is this thinking that led us to accepting quality practices and technology as a way of life. At Bhilosa, the idea of creating more employment opportunities for people and helping them build a successful life has always been crucial in the thought process. Under the ‘Make in India’ initiative, Bhilosa has not only facilitated more employment for the people but has also developed the infrastructure (in the form of new plants) required to accommodate such employment. As a result, the facilities and working conditions for Bhilosa people have always been good. The work at Bhilosa, therefore doesn’t seem like work, but an array of happy moments enjoyed by people everyday.",1988,"Mumbai, Maharashtra, India",B2C,Private,3.8,Corporate
,,Del Monte Foods,"Del Monte Foods is one of the country’s largest and most well-known producers, distributors and marketers of premium quality, branded food products for the U.S. retail market, generating approximately $1.7 billion in net sales in fiscal 2017. With a powerful portfolio of brands, Del Monte products are found in six out of ten U.S. households. Brands include Del Monte®, Contadina®, S&W®, College Inn®, and other brand names.",1886,,B2C,Private,4.0,Corporate
,,V.S.T Tillers Tractors,"VST Tillers Tractors Ltd. was established in the year 1967 by the VST Group of companies, a well known century old business house in South India.",1967,"Bangalore/Bengaluru, Karnataka, India",B2B,Public,3.6,Corporate
,,Iron Mountain Inc,"Iron Mountain Inc. is an American enterprise information management services company founded in 1951 and headquartered in Boston, Massachusetts",1951,,Service,Private,3.8,Foreign Mnc
71555000,Ani Poddar,Marble Box,"Marble Box provides managed services for independent insurance agencies for functions, that while vital to the operation of a successful insurance agency, take resources away from soliciting new customers and providing excellent customer service.",2002,,Service,Private,4.2,Mnc
,,Capital Foods,"Capital Foods is a great believer in the concept of ‘Global Food Culture’. We are committed to helping people get a taste of global flavours by selecting, perfecting and integrating global foods through our various food brands.
Capital Foods is one of India’s fastest growing food companies with a strong presence in the highly populated Indian diaspora market of the world. We offer food products and food ingredients to meet a variety of cooking needs. We were the first to identify and label the unique cuisine of ‘Desi Chinese’ that is native to India but universally loved across USA, Canada, Australia, UK and Singapore.",1996,"Mumbai, India",,Private,4.1,
,,Blackrock,"BlackRock is a global asset manager. We help investors build better financial futures. As a fiduciary to investors and a leading provider of financial technology, our clients turn to us for the solutions they need when planning for their most important goals. Our founding mission was to establish a firm that thinks differently about managing investment risks to best serve our clients, and this is still at our core today. We challenge businesses to reach higher standards. We use technology to think beyond what’s possible. We provide investment solutions for every need. We aim to simplify a complex world. We help chart paths towards financial health. We are BlackRock, and we are invested in your financial well-being",2004,,B2B,Private,3.9,Foreign Mnc
,Brian Shepherd,Csg International,"Customer experience, commerce and payments have changed forever. With innovative new technologies like 5G and AI reshaping consumer expectations, it’s up to brands to deliver digital, engaging experiences that win over customers, no matter where they are in their customer journey.

That’s where CSG comes in. CSG is a purpose-driven, high-growth SaaS platform company helping some of the world’s most recognizable brands solve their toughest business challenges. We’re a trusted partner to global companies that want to evolve to meet the demands of today’s digital economy, with future-ready solutions that drive exceptional customer experiences.

By channeling the power of all, we make ordinary customer and employee experience extraordinary. We’re with you and your customers every step of the way, and at every stage of the customer lifecycle. We can consult with you on customer needs, design a front-facing customer experience and deliver the back-office systems to back it up. And we wrap it all in our managed services and CX consultancy to continue fine-tuning and improving interactions and operations.

The impact of our solutions isn't always seen, but it's felt. When a teenager tops up their cell phone plan to stay on the phone with their grandparents a little longer, that's CSG. When someone gets a reminder that their vital medication is ready for pickup, CSG helps make that happen. And when someone pays directly from their bank account to avoid processing fees, yes, that's CSG too.",1994,,B2B,Private,4.2,Indian Mnc
,,Gujarat Heavy Chemicals,"GHCL is a diversified company with an established foot print in Chemicals,Textiles and Consumer products segment.",1983,"Noida, Uttar Pradesh, India",B2B,Public,4.1,Corporate
,Vishwa Prasad,People Tech Group,"People Tech Group is a leading Enterprise Solutions, Digital Transformation, Data Intelligence, and Modern Operation services provider. Focusing on innovative solutions and consumer satisfaction, we have assisted many small to large enterprise-class customers and Fortune 500 clients in accelerating their initiatives since our inception. We work closely with our clients to understand their business challenges and develop tailored solutions to help them succeed.",2006,,Service,Private,2.8,Corporate
,,Maharashtra Seamless,"India’s largest manufacturer of Seamless and ERW steel pipes&tubes, incorporated during year 1988.MSL is a flagship company of D P Jindal Group of 1 billion USD turnover with ICRA credit rating of “AA”&D&B credit rating of 5A2. MSL is led by a dynamic management team comprising of its Executive Chairman Mr. D.P Jindal & Managing Director Mr.Saket Jindal. The company has consistently undergone expansion & routinely upgraded to the latest technology to keep ahead of the curve. Not only into the Pipes and Tubes, MSL has diversified its business portfolio in varied strategic areas such as Renewable Power generation and acquisition of a stake in an iron ore mine in Amapa, Brazil.",1988,"Gurgaon/Gurugram, Haryana, India",B2B,Public,3.6,Corporate
02240569999,Amit Gandre,Inspira Enterprise India Limited,"Inspira offer a wide range of services to a host of industries like Banking, Financial Services and Insurance (BFSI), Healthcare, Public Sector, Manufacturing, Information Technology Enabled Services (ITeS) eCommerce, and others.",2008,"Mumbai, Maharashtra, India",Service,Private,3.8,Indian Mnc
,,Consulting Engineers Group,"CEG is a marque for its global, distinguished and integrated range of skills and expertise and is a trusted name for delivering engineering excellence in the field of infrastructure development. Our team has an extensive experience in all sectors of infrastructure development covering Roads, Bridges, Rail, Metro, Environment, Urban Transport, Geotechnical Investigation, Environment Quality Control Testing, Inspection Services etc. Over the last 3 decades, CEG has built itself a unique reputation of being a value adding partner to its clients. Our contribution to major infrastructure projects have consolidated this reputation and established partnership with various key local and global associates. CEG takes great interest in developing a satisfactory and long-lasting relationship with all its clients. Our priority is to excel for the benefit of our clients, through a focus on quality. We put the right people with the right skills on the right project – and this is how our over 1000 professionals working on various projects are responsible in establishing CEG as most promising global organization of the country. A number of successfully delivered projects speaks about the strength and success of the operations at CEG. We believe in establishing a healthy and long-lasting relationship with our clients. We are committed to excel for the benefits of our clients with a firm focus on quality by adapting to changing times or through sustainable development. Now, more than 30 years after it began, CEG is an agile company. Having worked for hundreds of projects, we are now much more confident and a much stronger group of experts than ever before. We are delivering smart solutions for our clients and providing the innovation and insight that comes from a proud legacy of our history.",1984,"Jaipur, Rajasthan, India",B2B,Public,4.3,Corporate
,,Surin Automotive,Surin Automotive (P) Ltd is one of the leading engineering and manufacturing companies in India operating 10 plants across 7 cities having 5 divisions driving the growth of company.Commercial vehicle components and assembliesConstruction equipment components and assembliesTractor and agricultral components and assembliesCar components and assembliesSeats and seating systems,1974,"Bangalore/Bengaluru, Karnataka, India",B2B,Private,3.7,Corporate
,,Yokohama,"Enterprise Technology Solutions(ETS). Established in 1987, Yokogawa India has created the state of art global engineering center and manufacturing center in Bangalore.We have a strong marketing and service network across India. We also have a breadth of competencies to meet the technological requirement of the Indian Process Industry. Yokogawa India excels in turnkey project execution in Process Automation and Enterprise Integration with core competencies in:Design and Engineering of Process Control SystemsImplementation of Extended Enterprise ApplicationsWeb enabling & Enterprise Application Integration.Manufacturing Execution Systems Software DevelopmentProject Execution & Management of Process Control systems",1917,,B2B,Private,3.7,Corporate
,,Tata International,"Tata International Limited [TIL] is a global trading and distribution company with a network of offices and subsidiaries spanning more than 39 countries in Africa, Asia, Europe and the Americas. As a member of the reputed business conglomerate the Tata Group, we pride ourselves in upholding the highest ethical standards in the way we conduct our businesses. Supported by a 7000+ strong employee base, we are strongly driven by customer centricity, and have, over the years, formed strategic alliances and partnerships with market leaders that have reinforced our role as preferred partners in international trade and business.
Our worldwide revenues of US $2.59 billion in FY19 have set us firmly on a path of sustained growth even as we continue to focus on value-added offerings for our customers, backed by strong compliance of global norms within the sectors in which we operate. We leverage our worldwide presence along with sourcing and marketing competencies to deliver what we promise to customers across our five key business verticals",1962,"Mumbai, Maharashtra, India",B2B,Public,3.7,Indian Mnc
,,Krsnaa Diagnostics,"To make a difference in healthcare Krsnaa Diagnostics Pvt Ltd is India’s largest diagnostic services provider, both in Radiology and Pathology. Our mission to be easily accessible and affordable to anyone who seeks best quality diagnoses, and our commitment towards the same are what defines and differentiates us. We deliver clinical excellence through collaborative teleradiology services to enable robust evidence-based treatment for our patients in any corner of the country. With the most advanced technology in place, equipped with an advanced cloud-based PACS workflow capable of rapid deployment and easy integration into flexible operational needs, accurate reports are delivered from well-qualified Radiologists and Pathologists from across the globe.We offer exceptional service with prompt turnaround of diagnostic reports, easy access to consultation with our team of diagnostic specialists, and the ability to handle diagnostic report needs. We provide world class healthcare diagnostics services at affordable rates with the approach of “Let’s Do Good...”",2010,"Pune, Maharashtra, India",B2C,Private,3.9,Corporate
,,Nivea,"As one of the leading companies in the field of skin care – with more than 130 years of experience – our products always cater for the needs of our consumers, who place a great deal of faith in us. NIVEA is the world’s largest skin care brand which uses ingredients inspired by nature to work in harmony with skin, body and life to make you look and feel more beautiful. Our employees enjoy working at NIVEA and are proud of the Company, its values, and its brands. Their performance and commitment drive NIVEA’s development. We encourage this performance with challenging tasks and broad responsibilities that enable our employees to raise the bar in all fields of our business - every day, right from the start. Our working atmosphere is a unique mix of winning spirit and team work - performance driven and friendly at the same time.",1911,,B2C,Private,4.3,Foreign Mnc
,,R.S. Infraprojects,"R.S. Infraprojects Pvt. Ltd. is a growing infrastructure Engineering Procurement and Construction (EPC) company in India, engaged in projects in the power transmission and telecommunication sectors. The company’s focus on timely execution of projects and the quality of construction services makes R.S. Infra a trusted partner for many domestic and international clients in both the private and the public sector. Furthermore our belief that the ‘customer is king’ ensures a long and sustainable relationship between R.S. Infra and its clients. The company’s EPC business is supplemented by its manufacturing capabilities, with three factories set up in the Greater Noida Area. Today, the company has a capacity of 65,000 MTs of galvanized steel structures per annum, with a larger capacity expansion in the works. Our cost efficient and top of the line manufacturing plants gives R.S. Infra a distinct cost and quality advantage over most of its competitors in the EPC business. Today, we manufacture telecommunication towers, power transmission towers, monopole towers, sub-station structure, solar panel mounting structures and FM/ TV towers. With a highly professionalized and technology enabled team, R.S. Infraprojects is in the right place to meet the growing demand for quality infrastructure in India and other developing countries. We are committed to exceed the standards of all Quality, Environment and Occupational Health & Safety requirements in all our projects.",2005,"Noida, Uttar Pradesh, India",B2C,Private,4.0,Corporate
,,Bridgestone India Automotive Products,"Bridgestone India Automotive is a 100% subsidiary of Bridgestone Corporation, Japan with its head office in Chennai. It has the state of art plants, manufacturing Anti-Vibration product at Oragadam (Chennai) and Manesar (near Delhi).

Bridgestone India Automotive mission is ""Serving society with Superior Quality"" with strong emphasis on quality and customer service, the company has grown rapidly becoming one of the major suppliers to reputed car manufacturing companies in India. Backed by a strong R & D team, the company is in the forefront of new technologies providing end to end solutions. The Company is backed by the strong support of technical center at Bridgestone, Japan.

The company is managed by a competent team of Japanese and Indian professionals.",1996,"Pune, India",,Private,4.3,
,,Idp Education Limited,"IDP is a global leader in international education services. We help our customers study in English speaking countries. Our success comes from connecting students with the right course in the right institution and the right country. We’ve been operating for over 50 years, creating a huge network of opportunity with offices in over 60 countries.",1995,,Service,Private,3.8,Foreign Mnc
,Y.V. Ramana,Vijay Nirman Company,"Dedicated to empowering customers and communities in which it worksWelcome to a company that is known for empowering customers by designing and crafting the highest quality solutions with timeliness, integrity and highest ethical standards. A company that is centred on developing cost competitive work through outstanding expertise and full spectrum of exceptional services. A company that is achieving and exceeding its goals for more than 3 decades while continuing to be one of the industry leaders. Welcome to Vijay Nirman.COMPANY HIGHLIGHTSEnvisioned in 1982 by technocrat businessman Dr. S. Vijaya KumarAt the heart of mega civil engineering and industrial projects425 completed projects and Rs.60 billions turnover crossed in the last 5 yearsIntegrated infrastructure strengthened by project management skills of a strong workforceDevoted to delivering safe, sustainable and efficient solutions",1982,"Visakhapatnam/Vizag, Andhra Pradesh, India",B2B,Private,3.6,Corporate
,,Wood Group,"Wood provides performance-driven solutions throughout the asset life cycle, from concept to decommissioning across a broad range of industrial markets, including the upstream, midstream and downstream oil & gas, power & process, environment and infrastructure, clean energy, mining, nuclear, and general industrial sectors.

The rich heritage of our founding organisations makes us a respected presence in global industrial markets, combining unrivalled technical knowledge and a drive for outstanding delivery.",1912,,B2B,Private,3.9,Corporate
,Walter Dr. Schlebusch,Giesecke & Devrient,"Giesecke+Devrient is a global company that offers security technologies, both in the physical and digital world. Every day, billions of people benefit from G+D innovations in their personal and business lives. With around 11,600 employees across 32 countries, we develop, manufacture, and distribute products and solutions for the safeguarding of payment processes, identities, connectivity, and data.",1852,,Service,Private,3.9,Foreign Mnc
,Pallav Mohapatra,Central Bank Of India,"Established in 1911, Central Bank of India was the first Indian commercial bank which was wholly owned and managed by Indians. The establishment of the Bank was the ultimate realisation of the dream of Sir Sorabji Pochkhanawala, founder of the Bank. Sir Pherozesha Mehta was the first Chairman of a truly 'Swadeshi Bank'. In fact, such was the extent of pride felt by Sir Sorabji Pochkhanawala that he proclaimed Central Bank of India as the 'property of the nation and the country's asset'. He also added that 'Central Bank of India lives on people's faith and regards itself as the people's own bank'.

During the past 106 years of history the Bank has weathered many storms and faced many challenges. The Bank could successfully transform every threat into business opportunity and excelled over its peers in the Banking industry.",1911,"Mumbai, Maharashtra, India",B2C,Public,4.0,
